Addam_Marbrand:'siblings':[]| 'fmc':[['Damon_Marbrand'], []]| 'love':[]
Edmund_Blackwood:'siblings':['Brynden_Blackwood', 'Lucas_Blackwood', 'Hoster_Blackwood', 'Alyn_Blackwood', 'Bethany_Blackwood', 'Robert_Blackwood']| 'fmc':[['Tytos_Blackwood'], []]| 'love':[]
Edmyn_Tully:'siblings':[]| 'fmc':[[], []]| 'love':[]
Edric_Dayne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Edric_Stark:'siblings':[]| 'fmc':[[], []]| 'love':[]
Edric_Stark_(Son_of_Cregan):'siblings':['Rickon_Stark_(Son_of_Cregan)', 'Sarra_Stark', 'Alys_Stark', 'Raya_Stark', 'Mariah_Stark', 'Jonnel_Stark', 'Lyanna_Stark_(Daughter_of_Cregan)', 'Barthogan_Stark', 'Brandon_Stark_(Son_of_Cregan)']| 'fmc':[['Cregan_Stark', 'Lynara_Stark'], []]| 'love':[]
Edric_Storm:'siblings':[]| 'fmc':[['Robert_I_Baratheon', 'Delena_Florent'], []]| 'love':[]
Edwell_Celtigar:'siblings':[]| 'fmc':[[], ['Prunella_Celtigar', 'Prudence_Celtigar']]| 'love':[]
Edwyle_Stark:'siblings':['Jocelyn_Stark']| 'fmc':[['Willam_Stark', 'Melantha_Blackwood'], ['Rickard_Stark']]| 'love':['Marna_Locke']
Edwyn_Frey:'siblings':[]| 'fmc':[['Ryman_Frey'], []]| 'love':[]
Edyth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Eerl_Harlaw:'siblings':[]| 'fmc':[[], []]| 'love':[]
Elaena_Targaryen_(daughter_of_Gaemon):'siblings':['Aegon_Targaryen_(son_of_Gaemon)']| 'fmc':[['Gaemon_Targaryen_(son_of_Aenar)', 'Daenys_Targaryen'], ['Maegon_Targaryen', 'Aerys_Targaryen_(son_of_Aegon)']]| 'love':[]
Elder_Brother:'siblings':[]| 'fmc':[[], []]| 'love':[]
Eldred_Codd:'siblings':[]| 'fmc':[[], []]| 'love':[]
Eleyna_Westerling:'siblings':['Raynald_Westerling', 'Jeyne_Westerling', 'Rollam_Westerling']| 'fmc':[['Gawen_Westerling', 'Sybell_Spicer'], []]| 'love':[]
Elia_Martell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Elinda_Massey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Elinor_Massey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Elinor_Tyrell:'siblings':['Luthor_Tyrell']| 'fmc':[['Theodore_Tyrell', 'Lia_Serry'], []]| 'love':[]
Ella_Broome:'siblings':['Lucinda_Tully']| 'fmc':[[], []]| 'love':[]
Ella_Lannister:'siblings':[]| 'fmc':[[], ['Damion_Lannister']]| 'love':['Damon_Lannister_(son_of_Jason)']
Ellard_Crane:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ellard_Stark:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ellaria_Sand:'siblings':[]| 'fmc':[['Harmen_Uller'], []]| 'love':[]
Ellyn_Ever_Sweet:'siblings':['John_the_Oak', 'Gilbert_of_the_Vines', 'Florys_the_Fox', 'Maris_the_Maid', 'Brandon_of_the_Bloody_Blade', 'Foss_the_Archer', 'Owen_Oakenshield', 'Harlon_the_Hunter', 'Herndon_of_the_Horn', 'Bors_the_Breaker', 'Rose_of_Red_Lake', 'Rowan_Gold-Tree', 'Garth_the_Gardener']| 'fmc':[['Garth_Greenhand'], []]| 'love':[]
Ellyn_Reyne:'siblings':['Roger_Reyne', 'Reynard_Reyne']| 'fmc':[['Robert_Reyne'], ['Rohanne_Tarbeck', 'Cyrelle_Tarbeck', 'Tion_Tarbeck']]| 'love':['Tion_Lannister', 'Walderan_Tarbeck']
Elmar_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Elmo_Tully:'siblings':[]| 'fmc':[[], ['Kermit_Tully', 'Oscar_Tully']]| 'love':[]
Elric_Stark:'siblings':['Benjen_Stark_(Son_of_Bennard)', 'Brandon_Stark_(Son_of_Bennard)']| 'fmc':[['Bennard_Stark', 'Margaret_Karstark'], []]| 'love':[]
Elwood_Meadows:'siblings':[]| 'fmc':[[], []]| 'love':[]
Elyas_Scales:'siblings':[]| 'fmc':[[], []]| 'love':[]
Elyn_Norridge:'siblings':[]| 'fmc':[[], ['Theodore_Tyrell', 'Medwick_Tyrell', 'Olene_Tyrell']]| 'love':['Luthor_Tyrell_(son_of_Moryn)']
Elys_Arryn:'siblings':['Aemma_Arryn']| 'fmc':[[], []]| 'love':[]
Elys_Waynwood:'siblings':[]| 'fmc':[[], ['Jasper_Waynwood']]| 'love':[]
Elys_Westerling:'siblings':[]| 'fmc':[[], []]| 'love':[]
Elysar:'siblings':[]| 'fmc':[[], []]| 'love':[]
Emberlei_Frey:'siblings':['Tysane_Frey', 'Walda_Frey_(daughter_of_Lothar)', 'Leana_Frey']| 'fmc':[['Lothar_Frey', 'Leonella_Lefford'], []]| 'love':[]
Emma:'siblings':[]| 'fmc':[[], []]| 'love':[]
Emmett:'siblings':[]| 'fmc':[[], []]| 'love':['Black_Maris']
Emmon_Cuy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Emmon_Frey:'siblings':['Stevron_Frey', 'Aenys_Frey', 'Jared_Frey', 'Luceon_Frey', 'Hosteen_Frey', 'Lythene_Frey', 'Symond_Frey', 'Danwell_Frey', 'Merrett_Frey', 'Geremy_Frey', 'Raymund_Frey', 'Lothar_Frey', 'Jammos_Frey', 'Whalen_Frey', 'Morya_Frey', 'Tyta_Frey', 'Perwyn_Frey', 'Willamen_Frey', 'Olyvar_Frey', 'Roslin_Frey', 'Arwyn_Frey', 'Wendel_Frey', 'Colmar_Frey', 'Waltyr_Frey', 'Elmar_Frey', 'Shirei_Frey']| 'fmc':[['Walder_Frey', 'Perra_Royce'], ['Cleos_Frey', 'Lyonel_Frey', 'Tion_Frey', 'Walder_Frey_(son_of_Emmon)', 'Walder_Rivers']]| 'love':['Genna_Lannister']
Emmond:'siblings':[]| 'fmc':[[], []]| 'love':[]
Emory_Hill:'siblings':[]| 'fmc':[[], []]| 'love':[]
Endrew_Tarth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Erena_Glover:'siblings':['Gawen_Glover']| 'fmc':[['Robett_Glover'], []]| 'love':[]
Erich_Hoare:'siblings':[]| 'fmc':[[], []]| 'love':[]
Erich_I_Greyiron:'siblings':[]| 'fmc':[['Urras_Greyiron'], []]| 'love':[]
Erich_V_Harlaw:'siblings':[]| 'fmc':[[], ['Harron_Harlaw']]| 'love':[]
Erich_VII_Durrandon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ermesande_Hayford:'siblings':[]| 'fmc':[[], []]| 'love':[]
Erren_Florent:'siblings':['Selyse_Florent', 'Imry_Florent']| 'fmc':[['Ryam_Florent'], []]| 'love':[]
Erryk:'siblings':[]| 'fmc':[[], []]| 'love':[]
Erryk_Cargyll:'siblings':['Arryk_Cargyll']| 'fmc':[[], []]| 'love':[]
Essie:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ethan_Glover:'siblings':[]| 'fmc':[[], []]| 'love':[]
Falena_Stokeworth:'siblings':[]| 'fmc':[[], []]| 'love':['Aegon_IV_Targaryen']
Falyse_Stokeworth:'siblings':['Lollys_Stokeworth']| 'fmc':[['Tanda_Stokeworth'], []]| 'love':['Balman_Byrch']
Fergon_Hoare:'siblings':[]| 'fmc':[[], []]| 'love':[]
Flement_Brax:'siblings':['Tytos_Brax', 'Robert_Brax']| 'fmc':[['Andros_Brax'], ['Robert_Brax_(son_of_Flement)', 'Walder_Brax', 'Jon_Brax']]| 'love':['Morya_Frey']
Fletcher_Dick:'siblings':[]| 'fmc':[[], []]| 'love':[]
Florian_the_Fool:'siblings':[]| 'fmc':[[], []]| 'love':[]
Florys_the_Fox:'siblings':[]| 'fmc':[[], ['House_Florent', 'House_Ball', 'House_Peake']]| 'love':[]
Syrio_Forel:'siblings':[]| 'fmc':[[], []]| 'love':[]
Forley_Prester:'siblings':[]| 'fmc':[[], []]| 'love':[]
Foss_the_Archer:'siblings':['John_the_Oak', 'Gilbert_of_the_Vines', 'Florys_the_Fox', 'Maris_the_Maid', 'Brandon_of_the_Bloody_Blade', 'Owen_Oakenshield', 'Harlon_the_Hunter', 'Herndon_of_the_Horn', 'Bors_the_Breaker', 'Rose_of_Red_Lake', 'Ellyn_Ever_Sweet', 'Rowan_Gold-Tree', 'Garth_the_Gardener']| 'fmc':[['Garth_Greenhand'], []]| 'love':[]
Franklyn_Farman:'siblings':['Androw_Farman']| 'fmc':[['Marq_Farman'], []]| 'love':[]
Franklyn_Flowers:'siblings':[]| 'fmc':[[], []]| 'love':[]
Free_Folk:'siblings':[]| 'fmc':[[], []]| 'love':[]
Frenken:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gael_Targaryen:'siblings':['Aegon_Targaryen_(son_of_Jaehaerys_I)', 'Alyssa_Targaryen', 'Aeryn_Targaryen', 'Vaegon_Targaryen', 'Maegelle_Targaryen', 'Valerion_Targaryen', 'Viserra_Targaryen', 'Gaemon_Targaryen_(son_of_Jaehaerys_I)', 'Saera_Targaryen']| 'fmc':[['Jaehaerys_I_Targaryen', 'Alysanne_Targaryen'], []]| 'love':[]
Gaemon_Palehair:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gaemon_Targaryen_(son_of_Aenar):'siblings':['Daenys_Targaryen']| 'fmc':[['Aenar_Targaryen'], ['Aegon_Targaryen_(son_of_Gaemon)', 'Elaena_Targaryen_(daughter_of_Gaemon)']]| 'love':[]
Gaemon_Targaryen_(son_of_Jaehaerys_I):'siblings':['Aegon_Targaryen_(Son_of_Jaehaerys_I)', 'Daenerys_Targaryen_(Daughter_of_Jaehaerys_I)', 'Aemon_Targaryen_(Son_of_Jaehaerys_I)', 'Alyssa_Targaryen', 'Maegelle_Targaryen', 'Vaegon_Targaryen', 'Daella_Targaryen_(Daughter_of_Jaehaerys_I)', 'Viserra_Targaryen', 'Valerion_Targaryen', 'Gael_Targaryen']| 'fmc':[['Jaehaerys_I_Targaryen', 'Alysanne_Targaryen'], []]| 'love':[]
Gage:'siblings':[]| 'fmc':[[], []]| 'love':[]
Galbart_Glover:'siblings':['Robett_Glover']| 'fmc':[[], []]| 'love':[]
Gared:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gareth_Clifton:'siblings':[]| 'fmc':[[], []]| 'love':['Jeyne_Farman']
Gareth_II_Gardener:'siblings':[]| 'fmc':[[], []]| 'love':[]
Garibald_Grey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Garlan_Tyrell:'siblings':['Willas_Tyrell', 'Loras_Tyrell', 'Margaery_Tyrell']| 'fmc':[['Mace_Tyrell', 'Alerie_Hightower'], []]| 'love':['Leonette_Fossoway']
Garrison_Prester:'siblings':[]| 'fmc':[[], []]| 'love':[]
Garse_Goodbrook:'siblings':[]| 'fmc':[[], ['Walder_Goodbrook', 'Jeyne_Goodbrook']]| 'love':['Kyra_Frey']
Garse_VII_Gardener:'siblings':[]| 'fmc':[[], []]| 'love':[]
Garth_Greenfield:'siblings':[]| 'fmc':[[], []]| 'love':[]
Garth_Greenhand:'siblings':[]| 'fmc':[[], ['John_the_Oak', 'Gilbert_of_the_Vines', 'Florys_the_Fox', 'Maris_the_Maid', 'Foss_the_Archer', 'Owen_Oakenshield', 'Harlon_the_Hunter', 'Herndon_of_the_Horn', 'Bors_the_Breaker', 'Rose_of_Red_Lake', 'Ellyn_Ever_Sweet', 'Rowan_Gold-Tree', 'Garth_the_Gardener', 'Brandon_of_the_Bloody_Blade']]| 'love':[]
Garth_the_Gardener:'siblings':['John_the_Oak', 'Gilbert_of_the_Vines', 'Florys_the_Fox', 'Maris_the_Maid', 'Foss_the_Archer', 'Brandon_of_the_Bloody_Blade', 'Owen_Oakenshield', 'Harlon_the_Hunter', 'Herndon_of_the_Horn', 'Bors_the_Breaker', 'Rose_of_Red_Lake', 'Ellyn_Ever_Sweet', 'Rowan_Gold-Tree']| 'fmc':[['Garth_Greenhand'], []]| 'love':[]
Garth_Tyrell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gawen_Glover:'siblings':['Erena_Glover']| 'fmc':[['Robett_Glover'], []]| 'love':[]
Gawen_Westerling:'siblings':[]| 'fmc':[[], ['Raynald_Westerling', 'Jeyne_Westerling', 'Eleyna_Westerling', 'Rollam_Westerling']]| 'love':['Sybell_Spicer']
Gawen_Wylde:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gendry:'siblings':['Mya_Stone', 'Bella', 'Edric_Storm', 'Barra']| 'fmc':[['Robert_I_Baratheon'], []]| 'love':[]
Genna_Lannister:'siblings':['Tywin_Lannister', 'Kevan_Lannister', 'Tygett_Lannister', 'Gerion_Lannister']| 'fmc':[['Tytos_Lannister', 'Jeyne_Marbrand'], ['Cleos_Frey', 'Lyonel_Frey', 'Tion_Frey', 'Walder_Frey_(son_of_Emmon)']]| 'love':['Emmon_Frey']
Gerald_Gower:'siblings':[]| 'fmc':[[], []]| 'love':[]
Geremy_Frey:'siblings':[]| 'fmc':[['Walder_Frey', 'Amarei_Crakehall'], ['Cynthea_Frey']]| 'love':[]
Gerion_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':[]
Germund_Botley:'siblings':['Sawane_Botley', 'Lucimore_Botley', 'Sargon_Botley']| 'fmc':[[], ['Balon_Botley', 'Quellon_Botley']]| 'love':[]
Gerold_III_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gerold_Lannister:'siblings':['Tybolt_Lannister']| 'fmc':[['Damon_Lannister_(lord)', 'Cerissa_Lannister'], ['Tywald_Lannister', 'Tion_Lannister', 'Tytos_Lannister', 'Jason_Lannister_(son_of_Gerold)']]| 'love':['Alysanne_Farman', 'Rohanne_Webber']
Gerold_Templeton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gerrick_Kingsblood:'siblings':[]| 'fmc':[[], ['Gerrick_Kingsblood%27s_Youngest_Daughter']]| 'love':[]
Gerrick_Kingsblood%27s_Youngest_Daughter:'siblings':[]| 'fmc':[['Gerrick_Kingsblood'], []]| 'love':[]
Gevin_Harlaw:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gilbert_Farring:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gilbert_of_the_Vines:'siblings':['John_the_Oak', 'Florys_the_Fox', 'Maris_the_Maid', 'Brandon_of_the_Bloody_Blade', 'Foss_the_Archer', 'Owen_Oakenshield', 'Harlon_the_Hunter', 'Herndon_of_the_Horn', 'Bors_the_Breaker', 'Rose_of_Red_Lake', 'Ellyn_Ever_Sweet', 'Rowan_Gold-Tree', 'Garth_the_Gardener']| 'fmc':[['Garth_Greenhand'], []]| 'love':[]
Gilliane_Glover:'siblings':[]| 'fmc':[[], ['Cregan_Stark']]| 'love':['Rickon_Stark_(Son_of_Benjen)']
Gilly:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gilly%27s_son:'siblings':[]| 'fmc':[[], []]| 'love':[]
Glendon_Flowers:'siblings':[]| 'fmc':[['Quentyn_Ball', 'Penny_Jenny'], []]| 'love':[]
Godry_Farring:'siblings':[]| 'fmc':[[], []]| 'love':[]
Goren_Greyjoy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gormon_Massey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gormon_Peake:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gormond_Drumm:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gormond_Goodbrother:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gorold_Goodbrother:'siblings':[]| 'fmc':[[], ['Gysella_Goodbrother', 'Gwin_Goodbrother', 'Greydon_Goodbrother', 'Gormond_Goodbrother', 'Gran_Goodbrother']]| 'love':[]
Gran_Goodbrother:'siblings':[]| 'fmc':[[], []]| 'love':[]
Grance_Morrigen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Green_Queen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Greenbeard:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gregor_Clegane:'siblings':['Sandor_Clegane']| 'fmc':[[], []]| 'love':[]
Gregor_Goode:'siblings':['Griffith_Goode']| 'fmc':[[], []]| 'love':[]
Grenn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Grey_King:'siblings':[]| 'fmc':[[], []]| 'love':[]
Grey_Kings:'siblings':[]| 'fmc':[[], []]| 'love':[]
Grey_Wind:'siblings':[]| 'fmc':[[], []]| 'love':[]
Greydon_Goodbrother:'siblings':[]| 'fmc':[[], []]| 'love':[]
Balon_IX_Greyjoy:'siblings':['Euron_Greyjoy', 'Victarion_Greyjoy', 'Aeron_Greyjoy']| 'fmc':[['Quellon_Greyjoy'], ['Rodrik_Greyjoy', 'Maron_Greyjoy', 'Theon_Greyjoy', 'Asha_Greyjoy']]| 'love':['Alannys_Harlaw']
Euron_III_Greyjoy:'siblings':['Harlon_Greyjoy', 'Quenton_Greyjoy', 'Donel_Greyjoy', 'Balon_Greyjoy', 'Victarion_Greyjoy', 'Urrigon_Greyjoy', 'Aeron_Greyjoy', 'Robin_Greyjoy']| 'fmc':[['Quellon_Greyjoy', 'House_Sunderly'], []]| 'love':[]
Griffith_Goode:'siblings':['Gregor_Goode']| 'fmc':[[], []]| 'love':[]
Grover_Tully:'siblings':[]| 'fmc':[[], []]| 'love':[]
Guncer_Sunglass:'siblings':['Lord_Sunglass']| 'fmc':[[], []]| 'love':[]
Gwayne_Gaunt:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gwayne_Hightower:'siblings':['Alicent_Hightower']| 'fmc':[[], []]| 'love':[]
Gwenys_Rivers:'siblings':['Brynden_Rivers', 'Mya_Rivers', 'Daeron_II_Targaryen', 'Alysanne_(daughter_of_Aegon_IV)', 'Lily', 'Willow_(daughter_of_Aegon_IV)', 'Rosey_(daughter_of_Aegon_IV)', 'Bellanora_Otherys', 'Narha_Otherys', 'Balerion_Otherys', 'Aegor_Rivers', 'Daemon_Blackfyre', 'Shiera_Seastar']| 'fmc':[['Aegon_IV_Targaryen', 'Melissa_Blackwood'], []]| 'love':[]
Gwin_Goodbrother:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gwynesse_Harlaw:'siblings':['Rodrik_Harlaw', 'Alannys_Harlaw']| 'fmc':[[], []]| 'love':[]
Gylbert_Farman:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gylbert_Farwynd:'siblings':[]| 'fmc':[[], ['Gyles_Farwynd', 'Ygon_Farwynd', 'Yohn_Farwynd']]| 'love':[]
Gyldayn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gyles_Farwynd:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gyles_II_Gardener:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gyles_Rosby:'siblings':[]| 'fmc':[[], []]| 'love':[]
Gysella_Goodbrother:'siblings':[]| 'fmc':[[], []]| 'love':[]
Haegon_Blackfyre:'siblings':['Aegon_Blackfyre', 'Aemon_Blackfyre', 'Calla_Blackfyre']| 'fmc':[[], []]| 'love':[]
Haereg:'siblings':[]| 'fmc':[[], []]| 'love':[]
Haggo:'siblings':[]| 'fmc':[[], []]| 'love':[]
Haggon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hagon_Hoare:'siblings':['Harmund_III_Hoare']| 'fmc':[['Harmund_II_Hoare', 'Lelia_Lannister'], []]| 'love':[]
Hake:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hal_(Hairy):'siblings':[]| 'fmc':[[], []]| 'love':[]
Halder:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qhorin:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hali:'siblings':[]| 'fmc':[[], []]| 'love':[]
Halleck:'siblings':['Harma']| 'fmc':[[], []]| 'love':[]
Halleck_Hoare:'siblings':[]| 'fmc':[['Harwyn_Hoare'], ['Harren_Hoare', 'Lord_Commander_Hoare']]| 'love':[]
Hallis_Hornwood:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hallis_Mollen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hallyne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Halys_Hornwood:'siblings':[]| 'fmc':[[], ['Daryn_Hornwood', 'Larence_Snow']]| 'love':['Donella_Hornwood']
Hareth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harlan_Hoare:'siblings':['Harwyn_Hoare']| 'fmc':[['Qhorwyn_Hoare'], []]| 'love':[]
Harlon_Botley:'siblings':['Harren_Botley', 'Tristifer_Botley', 'Symond_Botley', 'Vickon_Botley', 'Bennarion_Botley']| 'fmc':[['Sawane_Botley'], []]| 'love':[]
Harlon_Greyjoy:'siblings':['Quenton_Greyjoy', 'Donel_Greyjoy', 'Balon_Greyjoy', 'Euron_Greyjoy', 'Victarion_Greyjoy', 'Aeron_Greyjoy', 'Urrigon_Greyjoy', 'Robin_Greyjoy']| 'fmc':[['Quellon_Greyjoy'], []]| 'love':[]
Harlon_the_Hunter:'siblings':['John_the_Oak', 'Gilbert_of_the_Vines', 'Florys_the_Fox', 'Maris_the_Maid', 'Foss_the_Archer', 'Owen_Oakenshield', 'Brandon_of_the_Bloody_Blade', 'Herndon_of_the_Horn', 'Bors_the_Breaker', 'Rose_of_Red_Lake', 'Ellyn_Ever_Sweet', 'Rowan_Gold-Tree', 'Garth_the_Gardener']| 'fmc':[['Garth_Greenhand'], []]| 'love':['Horn_Hill']
Harma:'siblings':['Halleck']| 'fmc':[[], []]| 'love':[]
Harmen_Uller:'siblings':[]| 'fmc':[[], ['Ellaria_Sand']]| 'love':[]
Harmond_Umber:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harmund_I_Hoare:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harmund_II_Hoare:'siblings':[]| 'fmc':[[], ['Harmund_III_Hoare', 'Hagon_Hoare']]| 'love':['Lelia_Lannister']
Harmund_III_Hoare:'siblings':['Hagon_Hoare']| 'fmc':[['Harmund_II_Hoare', 'Lelia_Lannister'], []]| 'love':[]
Harmund_Sharp:'siblings':[]| 'fmc':[[], ['Harrag_Sharp']]| 'love':[]
Harrag_Hoare:'siblings':[]| 'fmc':[[], ['Ravos_Hoare']]| 'love':[]
Harrag_Sharp:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harras_Harlaw:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harras_Hoare:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harren_Botley:'siblings':['Tristifer_Botley', 'Symond_Botley', 'Harlon_Botley', 'Vickon_Botley', 'Bennarion_Botley']| 'fmc':[['Sawane_Botley'], []]| 'love':[]
Harren_Hoare:'siblings':['Lord_Commander_Hoare']| 'fmc':[['Halleck_Hoare'], []]| 'love':[]
Harren_the_Red:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harrion_Karstark:'siblings':['Torrhen_Karstark', 'Eddard_Karstark', 'Alys_Karstark']| 'fmc':[['Rickard_Karstark'], []]| 'love':[]
Harrold_Hardyng:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harrold_Langward:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harrold_Rogers:'siblings':[]| 'fmc':[[], []]| 'love':['Branda_Stark']
Harrold_Swyft:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harrold_Westerling:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harron_Harlaw:'siblings':[]| 'fmc':[['Erich_V_Harlaw'], []]| 'love':[]
Harry_Rivers:'siblings':[]| 'fmc':[['Jonos_Bracken'], []]| 'love':[]
Harry_Strickland:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harwin:'siblings':[]| 'fmc':[['Hullen'], []]| 'love':[]
Harwin_Strong:'siblings':['Larys_Strong']| 'fmc':[['Lyonel_Strong'], []]| 'love':[]
Harwyn_Hoare:'siblings':['Harlan_Hoare']| 'fmc':[['Qhorwyn_Hoare'], ['Halleck_Hoare']]| 'love':[]
Harys_Haigh:'siblings':['Donnel_Haigh', 'Alyn_Haigh']| 'fmc':[['Leslyn_Haigh', 'Perriane_Frey'], []]| 'love':[]
Harys_Horpe:'siblings':[]| 'fmc':[[], []]| 'love':[]
Harys_Swyft:'siblings':[]| 'fmc':[[], ['Dorna_Swyft', 'Steffon_Swyft', 'Shierle_Swyft']]| 'love':[]
Helman_Tallhart:'siblings':[]| 'fmc':[[], ['Benfred_Tallhart', 'Eddara_Tallhart']]| 'love':[]
Hendry_Bracken:'siblings':[]| 'fmc':[[], []]| 'love':[]
Henly_(Maester):'siblings':[]| 'fmc':[[], []]| 'love':[]
Herndon_of_the_Horn:'siblings':['John_the_Oak', 'Gilbert_of_the_Vines', 'Florys_the_Fox', 'Maris_the_Maid', 'Brandon_of_the_Bloody_Blade', 'Foss_the_Archer', 'Owen_Oakenshield', 'Harlon_the_Hunter', 'Bors_the_Breaker', 'Rose_of_Red_Lake', 'Ellyn_Ever_Sweet', 'Rowan_Gold-Tree', 'Garth_the_Gardener']| 'fmc':[['Garth_Greenhand'], []]| 'love':[]
Herrock_Kenning:'siblings':[]| 'fmc':[[], []]| 'love':[]
Heward:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hibald:'siblings':[]| 'fmc':[[], []]| 'love':[]
High_Lickspittle:'siblings':[]| 'fmc':[[], []]| 'love':[]
High_Septon_(Pater):'siblings':[]| 'fmc':[[], []]| 'love':[]
High_Septon_(Tyrion%27s):'siblings':[]| 'fmc':[[], []]| 'love':[]
Gerold_Hightower:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hilmar_Drumm:'siblings':[]| 'fmc':[[], []]| 'love':[]
Category:Historical_characters:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hoarfrost_Umber:'siblings':[]| 'fmc':[[], ['Jon_Umber_(Greatjon)']]| 'love':[]
Hobb:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hobber_Redwyne:'siblings':['Horas_Redwyne', 'Desmera_Redwyne']| 'fmc':[['Paxter_Redwyne', 'Mina_Tyrell'], []]| 'love':[]
Hobert_Hightower:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hodor:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hoke:'siblings':[]| 'fmc':[[], []]| 'love':[]
Holly:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hop-Robin:'siblings':[]| 'fmc':[[], []]| 'love':[]
Horas_Redwyne:'siblings':['Hobber_Redwyne', 'Desmera_Redwyne']| 'fmc':[['Paxter_Redwyne', 'Mina_Tyrell'], []]| 'love':[]
Horgan_Hoare:'siblings':[]| 'fmc':[[], []]| 'love':[]
Horton_Redfort:'siblings':[]| 'fmc':[[], ['Jon_Redfort', 'Mychel_Redfort']]| 'love':[]
Horys_Hill:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hosman_Norcross:'siblings':[]| 'fmc':[[], ['Alester_Norcross', 'Renly_Norcross', 'Edric_Storm']]| 'love':['Delena_Florent']
Hosteen_Frey:'siblings':['Stevron_Frey', 'Emmon_Frey', 'Aenys_Frey', 'Jared_Frey', 'Symond_Frey', 'Merrett_Frey', 'Olyvar_Frey', 'Roslin_Frey', 'Walder_Rivers']| 'fmc':[['Walder_Frey'], ['Arwood_Frey']]| 'love':[]
Hostella_Frey:'siblings':['Ryella_Frey', 'Androw_Frey', 'Alyn_Frey']| 'fmc':[['Arwood_Frey', 'Ryella_Royce'], []]| 'love':[]
Hoster_Blackwood:'siblings':['Lucas_Blackwood']| 'fmc':[['Tytos_Blackwood'], []]| 'love':[]
Hoster_Frey:'siblings':['Merianne_Frey']| 'fmc':[['Whalen_Frey', 'Sylwa_Paege'], []]| 'love':[]
Hot_Pie:'siblings':[]| 'fmc':[[], []]| 'love':[]
